episode,simulated_reward,rolling_mean_reward_200
2426,0.625,0.52625
2427,0.625,0.52875
2428,0.625,0.52875
2429,0.0,0.525625
2430,0.375,0.524375
2431,0.625,0.524375
2432,0.625,0.524375
2433,0.625,0.524375
2434,0.625,0.524375
2435,0.125,0.521875
2436,0.625,0.521875
2437,0.625,0.521875
2438,0.0,0.52125
2439,0.0,0.518125
2440,0.625,0.518125
2441,0.625,0.518125
2442,0.625,0.518125
2443,0.625,0.518125
2444,0.625,0.518125
2445,0.625,0.518125
2446,0.375,0.516875
2447,0.625,0.52
2448,0.625,0.52
2449,0.0,0.516875
2450,0.625,0.518125
2451,0.625,0.520625
2452,0.625,0.520625
2453,0.625,0.52375
2454,0.625,0.52375
2455,0.625,0.526875
2456,0.625,0.526875
2457,0.625,0.526875
2458,0.625,0.526875
2459,0.625,0.526875
2460,0.0,0.526875
2461,0.625,0.526875
2462,0.625,0.53
2463,0.625,0.53
2464,0.625,0.53
2465,0.25,0.528125
2466,0.625,0.528125
2467,0.625,0.528125
2468,0.25,0.52875
2469,0.625,0.52875
2470,0.0,0.525625
2471,0.625,0.526875
2472,0.625,0.526875
2473,0.625,0.526875
2474,0.625,0.526875
2475,0.625,0.526875
2476,0.625,0.526875
2477,0.0,0.52375
2478,0.625,0.52375
2479,0.625,0.52375
2480,0.625,0.52375
2481,0.625,0.52375
2482,0.0,0.520625
2483,0.625,0.520625
2484,0.625,0.520625
2485,0.625,0.520625
2486,0.625,0.520625
2487,0.625,0.520625
2488,0.375,0.519375
2489,0.625,0.519375
2490,0.625,0.519375
2491,0.625,0.519375
2492,0.0,0.51625
2493,0.625,0.51625
2494,0.625,0.51625
2495,0.625,0.51875
2496,0.375,0.5175
2497,0.625,0.520625
2498,0.625,0.520625
2499,0.625,0.520625
2500,0.625,0.520625
2501,0.625,0.520625
2502,0.625,0.521875
2503,0.0,0.51875
2504,0.625,0.51875
2505,0.625,0.51875
2506,0.625,0.51875
2507,0.625,0.52125
2508,0.625,0.524375
2509,0.375,0.523125
2510,0.625,0.523125
2511,0.625,0.523125
2512,0.625,0.523125
2513,0.25,0.52125
2514,0.625,0.52125
2515,0.625,0.5225
2516,0.625,0.5225
2517,0.625,0.5225
2518,0.25,0.520625
2519,0.25,0.521875
2520,0.625,0.521875
2521,0.625,0.521875
2522,0.0,0.51875
2523,0.625,0.51875
2524,0.625,0.520625
2525,0.625,0.521875
2526,0.375,0.520625
2527,0.25,0.51875
2528,0.625,0.51875
2529,0.125,0.51625
2530,0.125,0.51375
2531,0.625,0.51375
2532,0.625,0.51375
2533,0.625,0.51375
2534,0.625,0.51375
2535,0.625,0.51375
2536,0.625,0.51375
2537,0.625,0.51375
2538,0.625,0.51625
2539,0.625,0.51625
2540,0.625,0.51625
2541,0.625,0.51625
